question,answer
what is aortic stenosis?,"Aortic stenosis is a condition that occurs when the aortic valve narrows, restricting blood flow from the heart to the rest of the body."
what are the treatments for myeloma?,"Chemotherapy, Radiation therapy, Stem cell transplant, Medications to strengthen bones, Pain management"
what are the symptoms of migraine headaches?,"Throbbing or pulsing pain on one side of the head, Sensitivity to light and sound, Nausea and vomiting, Blurred vision, Lightheadedness, Fatigue, Irritability"
what are the symptoms of stroke?,"Sudden numbness or weakness in the face, arm, or leg, especially on one side of the body, Sudden confusion or trouble speaking or understanding speech, Sudden trouble seeing in one or both eyes, Sudden trouble walking, dizziness, loss of balance or coordination, Sudden severe headache with no known cause"
what is anemia?,"A condition in which the body lacks enough red blood cells or hemoglobin, leading to reduced oxygen supply to tissues and organs."
what are the symptoms of hyperthyroidism?,"Weight loss, Increased appetite, Nervousness or anxiety, Tremors, Sweating, Heat sensitivity, Fatigue, Muscle weakness, Difficulty sleeping"
what are the treatments for peripheral arterial disease?,"Smoking cessation, Exercise and physical therapy, Medications to manage symptoms and prevent blood clots, Angioplasty or stenting to open up blocked arteries, Surgery to bypass blocked arteries"
what are the symptoms of rift valley fever?,"Fever, Headache, Muscle pain, Fatigue"
what are the treatments for haemophilus influenzae infection?,"Antibiotics, Pain relief medication, Rest"
what are the symptoms of cytomegalovirus infection?,"Fever, Fatigue, Sore throat, Swollen glands, Muscle aches, Loss of appetite, Jaundice, Pneumonia, Encephalitis"
what are the treatments for tuberculosis?,"Antibiotics (such as isoniazid, rifampin, and ethambutol), Directly Observed Therapy (DOT) to ensure compliance with medication, Surgery (in severe cases), Vaccination (in some cases)"
what is monkeypox?,"Monkeypox is a rare viral disease that is similar to smallpox. It is spread through contact with infected animals or humans. Monkeypox can cause fever, rash, and pustules on the skin."
what are the treatments for histoplasmosis?,"Antifungal medications, Oxygen therapy, Intravenous fluids"
what are the symptoms of hodgkin's lymphoma?,"Enlarged lymph nodes, Fever, Night sweats, Unexplained weight loss"
what are the treatments for raynaud's disease?,"Avoiding triggers such as cold temperatures and stress, Medications to improve blood flow, Biofeedback"
what are the symptoms of gallbladder cancer?,"Abdominal pain, Jaundice, Nausea and vomiting, Loss of appetite, Weight loss"
what are the symptoms of obsessive-compulsive disorder (ocd)?,"Obsessions, Compulsions, Fear of contamination, Aggressive impulses, Symmetry and orderliness, Excessive doubt, Hoarding, Trichotillomania, Skin picking"
what is hepatitis c?,"Hepatitis C is a viral infection that causes liver inflammation, sometimes leading to serious liver damage."
what are the treatments for tinnitus?,"Identifying and treating underlying causes (e.g., earwax buildup, high blood pressure), Using a white noise machine or other sound therapy, Counseling or therapy to help manage anxiety or depression"
what are the symptoms of autoimmune disorders?,"Fatigue, Joint pain and swelling, Skin problems, Abdominal pain, Digestive problems, Fever, Swollen glands, Muscle pain"
what are the symptoms of norovirus infection?,"Nausea, Vomiting, Diarrhea, Stomach cramps, Fever, Headache, Body aches"
what are the treatments for amyotrophic lateral sclerosis (als)?,"Medications to manage symptoms, Physical therapy and occupational therapy, Assistive devices to help with mobility and communication"
what are the treatments for post-traumatic stress disorder (ptsd)?,"Cognitive-behavioral therapy (CBT), Eye movement desensitization and reprocessing (EMDR), Medications such as antidepressants or anti-anxiety drugs"
what are the symptoms of mumps?,"Swelling of the salivary glands, Fever, Headache, Muscle aches, Fatigue, Loss of appetite, Painful testicles or breasts, Stiff neck, Difficulty swallowing"
what are the symptoms of syphilis?,"Painless sore or ulcer, Rash on the palms of the hands and soles of the feet, Fever, Fatigue"
what are the symptoms of tularemia?,"Fever, Chills, Headache, Muscle aches, Joint pain, Dry cough, Progressive weakness"
what are the treatments for cystic fibrosis?,"Airway clearance techniques, Inhaled medications, Oral pancreatic enzyme supplements, Antibiotics, Nutrition therapy"
what are the symptoms of leukemia?,"Fatigue, Fever, Frequent infections, Bruising or bleeding easily"
what is rubella?,"Rubella, also known as German measles, is a viral infection that can cause rash, fever, and swollen lymph nodes."
what are the symptoms of paget's disease of bone?,"Bone pain, Joint pain, Headaches, Hearing loss, Numbness or tingling, Enlarged bones, Bone deformities"
what are the symptoms of amyotrophic lateral sclerosis (als)?,"Muscle weakness and stiffness, Difficulty speaking and swallowing, Muscle twitching and cramping, Gradual loss of mobility, Difficulty breathing"
what are the symptoms of menopause?,"Irregular periods, Hot flashes, Night sweats, Sleep problems, Mood changes, Weight gain and slowed metabolism, Thinning hair and dry skin, Loss of breast fullness, Vaginal dryness, Decreased sex drive, Pain during sex, Urinary incontinence, Increased urination or urgency"
what are the treatments for renal failure?,"Dialysis to filter blood, Kidney transplant, Medications to control underlying causes, Dietary changes to manage electrolyte and fluid levels"
what are the symptoms of anthrax?,"Flu-like symptoms, Skin lesions, Swelling, Fever, Chest discomfort, Shortness of breath, Nausea and vomiting, Abdominal pain, Headache, Confusion"
what are the symptoms of cardiomyopathy?,"Shortness of breath, Swelling of the legs, ankles, or feet, Fatigue, Irregular heartbeat"
what are the symptoms of hyperthyroidism?,"Weight loss, Increased appetite, Nervousness or anxiety, Tremors, Sweating, Heat sensitivity, Fatigue, Muscle weakness, Difficulty sleeping"
what are the symptoms of escherichia coli o157:h7 infection?,"Abdominal pain and cramping, Diarrhea, often bloody, Nausea and vomiting, Dehydration, Fever, Fatigue"
what are the symptoms of hantavirus pulmonary syndrome?,"fever, muscle aches, fatigue, shortness of breath, cough, headaches, abdominal pain"
what are the symptoms of hepatitis a?,"Fatigue, Nausea and vomiting, Abdominal pain, Loss of appetite, Dark urine, Joint pain, Jaundice"
what are the treatments for peripheral arterial disease?,"Smoking cessation, Exercise and physical therapy, Medications to manage symptoms and prevent blood clots, Angioplasty or stenting to open up blocked arteries, Surgery to bypass blocked arteries"
what is huntington's disease?,"Huntington's disease is a genetic disorder that causes the progressive breakdown of nerve cells in the brain, which leads to mental and physical disabilities."
what are the symptoms of toxoplasmosis?,"Flu-like symptoms (such as fever, fatigue, body aches), Swollen lymph nodes, Muscle aches and pains, Headache, Sore throat, Skin rash, Inflammation of the lungs, heart, or eyes (in severe cases)"
what are the symptoms of helminthiasis?,"abdominal pain, diarrhea, nausea, vomiting, fever, fatigue, weight loss"
what is dementia?,Dementia is a general term for a decline in mental ability severe enough to interfere with daily life. Memory loss is an example. Alzheimer's is the most common type of dementia.
what are the treatments for glaucoma?,"Eye drops, Laser surgery, Trabeculectomy"
what are the symptoms of testicular cancer?,"A painless lump or swelling in the testicle, A feeling of heaviness in the scrotum, A dull ache in the abdomen or groin"
what are the symptoms of meningococcal disease?,"Fever, Headache, Stiff neck, Nausea and vomiting, Sensitivity to light, Confusion, Rash"
what is adenoiditis?,"Adenoiditis is an inflammation of the adenoids, which are small pads of tissue located in the back of the throat."
what are the symptoms of menopause?,"Irregular periods, Hot flashes, Night sweats, Sleep problems, Mood changes, Weight gain and slowed metabolism, Thinning hair and dry skin, Loss of breast fullness, Vaginal dryness, Decreased sex drive, Pain during sex, Urinary incontinence, Increased urination or urgency"
what are the treatments for gonorrhea?,"Antibiotics, Pain relief medication, Rest, Safe sex practices"
what are the symptoms of arthritis?,"Joint pain and stiffness, Swelling and redness around the joint, Limited range of motion, Fatigue, Fever"
what are the symptoms of cervical cancer?,"Abnormal vaginal bleeding, Pain during sex, Pelvic pain, Unusual vaginal discharge"
what are the symptoms of down syndrome?,"Intellectual disability, Delayed developmental milestones, Hypotonia (low muscle tone), Upward slanting eyes, Flat nasal bridge, Short stature, Heart defects"
what are the symptoms of influenza?,"Fever, Cough, Sore throat, Runny or stuffy nose, Body aches, Headache, Fatigue"
what are the symptoms of intestinal obstruction?,"Abdominal pain and cramping, Bloating, Vomiting, Constipation"
what are the symptoms of hepatitis c?,"Fever, Fatigue, Joint pain, Muscle pain, Loss of appetite, Nausea, Vomiting, Abdominal pain, Dark urine, Jaundice"
what are the symptoms of appendicitis?,"Pain in the lower right side of the abdomen, Nausea and vomiting, Loss of appetite, Fever, Constipation or diarrhea"
what is respiratory syncytial virus infection?,"Respiratory syncytial virus (RSV) infection is a common respiratory infection that can cause serious illness, particularly in young children and older adults."
what are the symptoms of mycobacterium avium complex infection?,"Fever, Fatigue, Weight loss, Night sweats, Diarrhea, Abdominal pain, Persistent cough, Shortness of breath"
what are the treatments for skin cancer?,"Surgery, Radiation therapy, Chemotherapy, Immunotherapy"
what are the treatments for gastroesophageal reflux disease?,"Antacids, Proton pump inhibitors, H2 blockers, Lifestyle changes (e.g., weight loss, avoiding trigger foods)"
what are the treatments for obesity?,"Dietary changes, Increased physical activity, Behavioral therapy, Weight-loss medications, Bariatric surgery"
what are the treatments for diverticulitis?,"Antibiotics to treat the infection, Liquid diet or low-fiber diet to help the colon rest, Surgery to remove the affected part of the colon in severe cases"
what are the symptoms of varicose veins?,"Swelling, Aching pain, Heaviness, Burning or itching, Discoloration, Ulcers"
what are the symptoms of conjunctivitis?,"Redness in the white of the eye or inner eyelid, Increased amount of tears, Thick yellow discharge that crusts over the eyelashes, especially after sleep, Itchy or burning eyes, Blurred vision, Sensitivity to light"
what are the symptoms of haemophilus influenzae infection?,"fever, headache, stiff neck, fatigue, ear pain, difficulty breathing"
what are the symptoms of dementia?,"Memory loss, Difficulty communicating, Inability to focus or pay attention, Poor reasoning or judgment, Confusion and disorientation, Mood changes"
what are the symptoms of e. coli infection?,"Abdominal pain, Diarrhea, Nausea, Vomiting, Fatigue, Fever, Bloody stool"
what is hypothyroidism?,Hypothyroidism is a condition in which the thyroid gland does not produce enough thyroid hormone.
what are the treatments for lymphoma?,"Chemotherapy, Radiation therapy, Stem cell transplant, Targeted therapy, Biological therapy"
what are the symptoms of typhoid fever?,"Fever, Headache, Abdominal pain, Loss of appetite, Fatigue, Diarrhea or constipation, Rash"
what are the symptoms of gonorrhea?,"painful urination, abnormal discharge, painful intercourse, lower abdominal pain, fever"
what are the symptoms of narcolepsy?,"Excessive daytime sleepiness, Sudden loss of muscle control (cataplexy), Sleep paralysis (inability to move or speak when falling asleep or waking up), Hallucinations during sleep or wakefulness, Disrupted nighttime sleep"
what are the symptoms of diphtheria?,"Sore throat, Fever, Swollen glands in the neck, Weakness and fatigue, Difficulty breathing, Nasal discharge, Formation of a thick grayish coating in the throat and nose"
what are the symptoms of vitiligo?,"White patches on the skin, Premature whitening of hair on scalp, eyelashes, eyebrows or beard, Loss of color inside the mouth, Loss or change in color of the retina"
what are the symptoms of appendicitis?,"Pain in the lower right side of the abdomen, Nausea and vomiting, Loss of appetite, Fever, Constipation or diarrhea"
what are the treatments for mumps?,"Supportive care, Pain relievers, Ice packs, Fluids"
what are the treatments for non-hodgkin's lymphoma?,"Chemotherapy, Radiation therapy, Immunotherapy, Stem cell transplant, Targeted therapy"
what are the symptoms of glaucoma?,"Blurred vision, Eye pain, Headaches"
what are the symptoms of lyme disease?,"Fever, Headache, Fatigue, Muscle aches, Joint pain, Swollen lymph nodes, Bull's-eye rash"
what are the treatments for q fever?,"Antibiotics, Supportive care"
what are the treatments for graves' disease?,"Anti-thyroid medication such as methimazole or propylthiouracil, Radioactive iodine therapy, Surgery to remove the thyroid gland"
what are the symptoms of meningococcal disease?,"Fever, Headache, Stiff neck, Nausea and vomiting, Sensitivity to light, Confusion, Rash"
what are the treatments for jaundice?,"Treating the underlying cause, Phototherapy, Exchange transfusion, Medications"
what are the treatments for influenza?,"Rest, Drinking fluids, Pain relievers, Antiviral medication (in some cases)"
what are the symptoms of dengue fever?,"High fever, Severe headache, Joint and muscle pain, Nausea and vomiting, Rash, Pain behind the eyes, Fatigue"
what are the treatments for rheumatoid arthritis?,"Nonsteroidal anti-inflammatory drugs (NSAIDs), Disease-modifying antirheumatic drugs (DMARDs), Biologic agents"
what is brucellosis?,"Brucellosis is a bacterial infection that spreads from animals to people, usually through unpasteurized dairy products or contact with bodily fluids from infected animals."
what are the treatments for tendinitis?,"Rest, Ice, Compression, Elevation, Physical therapy, Medications, Surgery"
what are the treatments for fibromyalgia?,"Pain relievers such as acetaminophen, NSAIDs, or opioids, Antidepressants, Anticonvulsants, Physical therapy, Counseling"
what are the symptoms of myasthenia gravis?,"Weakness in the muscles that control eye movement, Double vision, Difficulty speaking or swallowing, Weakness in the arms, legs, or neck, Difficulty breathing"
what are the symptoms of leukemia?,"Fatigue, Fever, Night sweats, Easy bruising or bleeding, Bone pain, Enlarged lymph nodes, Shortness of breath, Pale skin, Frequent infections, Weight loss, Headaches, Dizziness, Confusion, Seizures"
what is non-hodgkin's lymphoma?,"Non-Hodgkin's lymphoma is a type of cancer that affects the lymphatic system, which is a part of the body's immune system. The cancerous cells can accumulate in the lymph nodes, bone marrow, and other organs, leading to a variety of symptoms and complications."
what are the treatments for sciatica?,"Physical therapy, Pain medication, Steroid injections, Surgery"
what are the treatments for toxoplasmosis?,"Antibiotics (such as sulfadiazine, pyrimethamine, and clindamycin), Corticosteroids (to reduce inflammation in severe cases), Symptomatic treatment (such as pain relievers, fever reducers, and rest)"
what are the treatments for testicular cancer?,"Surgery to remove the affected testicle (orchiectomy), Radiation therapy, Chemotherapy"
what are the treatments for chronic kidney disease?,"Medications to control blood pressure and cholesterol levels, Dietary changes to manage potassium, sodium, and protein intake, Dialysis or kidney transplant in severe cases"
what are the treatments for japanese encephalitis?,"Supportive care, Antiviral medication, Preventive vaccination"
what are the treatments for sinusitis?,"Nasal decongestants, Saline nasal irrigation, Antibiotics, Steroid nasal sprays"
what are the symptoms of emphysema?,"Shortness of breath, especially during physical activities, Wheezing, Chest tightness, Chronic cough, Lack of energy"
what are the treatments for osteoporosis?,"Calcium and vitamin D supplements, Medications such as bisphosphonates, hormone therapy, and denosumab, Regular weight-bearing and muscle-strengthening exercise, Fall prevention measures, such as removing hazards and improving lighting in the home"
what are the symptoms of mitral valve regurgitation?,"Shortness of breath, Fatigue, Heart palpitations, Swelling in the legs or feet, Coughing up blood"
what are the treatments for malaria?,"Antimalarial medications, Supportive care"
what are the symptoms of polycystic ovary syndrome?,"Irregular periods, Heavy bleeding, Acne, Excess hair growth, Weight gain, Fatigue, Depression or mood swings"
what are the symptoms of leptospirosis?,"Fever, Headache, Muscle aches, Vomiting, Jaundice, Red eyes, Abdominal pain, Diarrhea, Rash, Chills"
what are the symptoms of ehrlichiosis?,"Fever, Headache, Muscle aches, Fatigue, Nausea, Vomiting, Diarrhea, Cough, Joint pain, Confusion"
what are the treatments for meningococcal disease?,"Antibiotics, Intravenous fluids, Oxygen therapy, Supportive care"
what are the treatments for measles?,"Symptom relief, Supportive care"
what are the symptoms of botulism?,"Double vision, Blurred vision, Drooping eyelids, Slurred speech, Difficulty swallowing, Dry mouth, Muscle weakness, Paralysis, Respiratory failure"
what are the symptoms of aids?,"Fever, Fatigue, Swollen lymph nodes, Rapid weight loss, Frequent infections, Skin rashes, Night sweats, Chronic diarrhea, Persistent cough, Memory loss, Depression, Neurological disorders"
what are the symptoms of spondylitis?,"Stiffness in the back or neck, Pain in the back or neck, Reduced mobility, Fatigue, Loss of appetite"
what are the symptoms of hemophilia?,"Excessive bleeding, Frequent nosebleeds, Blood in the urine or stool"
what are the symptoms of myocardial infarction?,"Chest pain or discomfort, Shortness of breath, Nausea or vomiting, Feeling lightheaded or dizzy, Sweating, Pain or discomfort in the arms, back, neck, jaw, or stomach"
what are the symptoms of systemic lupus erythematosus?,"Fatigue, Fever, Joint pain, Skin rashes, Chest pain, Shortness of breath, Headaches, Confusion, Memory loss"
what are the symptoms of diphtheria?,"Sore throat, Fever, Swollen glands in the neck, Weakness and fatigue, Difficulty breathing, Nasal discharge, Formation of a thick grayish coating in the throat and nose"
what are the symptoms of vitiligo?,"White patches on the skin, Premature whitening of hair on scalp, eyelashes, eyebrows or beard, Loss of color inside the mouth, Loss or change in color of the retina"
what are the treatments for vertigo?,"Medications to relieve symptoms, Vestibular rehabilitation therapy, Surgery (in severe cases)"
what are the treatments for congestive heart failure?,"Medications to manage symptoms and improve heart function, Lifestyle changes such as diet and exercise, Implantation of devices such as pacemakers or defibrillators, Heart transplant"
what are the treatments for cryptosporidiosis?,"Antiparasitic medications, Nitazoxanide, Azithromycin, Rehydration therapy"
what are the symptoms of hyperthyroidism?,"Weight loss, Increased appetite, Nervousness or anxiety, Tremors, Sweating, Heat sensitivity, Fatigue, Muscle weakness, Difficulty sleeping"
what are the symptoms of tinnitus?,"Ringing, buzzing, or other noise in the ears, Difficulty sleeping or concentrating, Anxiety or depression"
what are the symptoms of amyotrophic lateral sclerosis (als)?,"Muscle weakness and stiffness, Difficulty speaking and swallowing, Muscle twitching and cramping, Gradual loss of mobility, Difficulty breathing"
what are the treatments for lou gehrig's disease?,"Riluzole (Rilutek), Edaravone (Radicava), Physical therapy and occupational therapy, Breathing support"
what are the symptoms of malaria?,"Fever, Chills, Headache, Sweats, Fatigue, Nausea and vomiting, Muscle pain, Joint pain, Anemia, Convulsions"
what are the treatments for aortic valve regurgitation?,"Medications to manage symptoms, Surgical valve repair or replacement"
what are the symptoms of adenoiditis?,"Difficulty breathing through the nose, Snoring, Mouth breathing"
what are the symptoms of diabetes mellitus?,"Increased thirst, Frequent urination, Extreme hunger, Unexplained weight loss, Fatigue, Blurred vision, Slow-healing sores or frequent infections, Tingling or numbness in the hands or feet, Dry, itchy skin"
what are the treatments for typhus?,"Antibiotics, Supportive care"
what are the symptoms of autoimmune disorders?,"Fatigue, Joint pain and swelling, Skin problems, Abdominal pain, Digestive problems, Fever, Swollen glands, Muscle pain"
what are the symptoms of parkinson's disease?,"Tremors or shaking, usually in the hands, arms, or legs, Stiffness or rigidity of the limbs and trunk, Slow movement (bradykinesia), Impaired balance and coordination"
what are the symptoms of dengue fever?,"High fever, Severe headache, Joint and muscle pain, Nausea and vomiting, Rash, Pain behind the eyes, Fatigue"
what are the symptoms of encephalitis?,"Fever, Headache, Stiff neck, Confusion, Seizures, Muscle weakness, Personality changes, Loss of consciousness"
what are the treatments for glomerulonephritis?,"Medications to control blood pressure and reduce inflammation, Dialysis, Kidney transplant"
what are the symptoms of poliomyelitis?,"Fever, Headache, Nausea, Vomiting, Stiffness in the neck, Muscle weakness or paralysis"
what are the symptoms of ulcerative colitis?,"Abdominal pain, Diarrhea, Rectal bleeding, Urgency to defecate, Weight loss, Fatigue"
what are the symptoms of obsessive-compulsive disorder (ocd)?,"Obsessions, Compulsions, Fear of contamination, Aggressive impulses, Symmetry and orderliness, Excessive doubt, Hoarding, Trichotillomania, Skin picking"
what are the symptoms of leukemia?,"Fatigue, Fever, Night sweats, Easy bruising or bleeding, Bone pain, Enlarged lymph nodes, Shortness of breath, Pale skin, Frequent infections, Weight loss, Headaches, Dizziness, Confusion, Seizures"
what are the symptoms of osteoarthritis?,"Pain or stiffness in the joints, especially after periods of inactivity or overuse, Swelling or tenderness in the affected joints, A crunching or popping sensation when moving the joint, Limited range of motion, Bone spurs"
what are the symptoms of colitis?,"Abdominal pain and cramping, Diarrhea or constipation, Rectal bleeding, Urgent bowel movements, Fever and fatigue"
what are the symptoms of salmonellosis?,"Nausea, Vomiting, Abdominal cramps, Fever, Diarrhea, Headache"
what is filariasis?,"Filariasis is a parasitic infection that is transmitted by mosquitoes. It can lead to a variety of symptoms, including fever, lymphedema, and elephantiasis. The infection is common in many tropical and subtropical regions of the world."
what are the symptoms of zika virus infection?,"Fever, Rash, Joint pain, Red eyes (conjunctivitis), Muscle pain, Headache"
what are the symptoms of dementia?,"Memory loss, Difficulty communicating, Inability to focus or pay attention, Poor reasoning or judgment, Confusion and disorientation, Mood changes"
what is japanese encephalitis?,Japanese encephalitis is a viral infection that is transmitted by mosquitoes and can cause inflammation of the brain.
what are the symptoms of strep throat?,"Sore throat, Fever, Swollen lymph nodes, Difficulty swallowing"
what are the symptoms of cirrhosis?,"Fatigue and weakness, Loss of appetite and weight loss, Nausea and vomiting, Abdominal swelling and pain, Jaundice (yellowing of the skin and eyes)"
what are the treatments for post-traumatic stress disorder (ptsd)?,"Cognitive-behavioral therapy (CBT), Eye movement desensitization and reprocessing (EMDR), Medications such as antidepressants or anti-anxiety drugs"
what are the symptoms of sars (severe acute respiratory syndrome)?,"Fever, Chills, Dry cough, Shortness of breath, Muscle aches, Headache, Sore throat, Malaise"
what are the symptoms of typhoid fever?,"Fever, Headache, Abdominal pain, Loss of appetite, Fatigue, Diarrhea or constipation, Rash"
what are the symptoms of hashimoto's thyroiditis?,"Fatigue and sluggishness, Weight gain, Depression"
what are the treatments for chronic obstructive pulmonary disease?,"Smoking cessation, Bronchodilators to relax the muscles around the airways, Inhaled corticosteroids to reduce inflammation, Pulmonary rehabilitation to improve lung function and overall fitness, Supplemental oxygen therapy, Surgery in severe cases"
what are the treatments for obesity?,"Dietary changes, Increased physical activity, Behavioral therapy, Weight-loss medications, Bariatric surgery"
what is osteomyelitis?,Osteomyelitis is a bone infection that can occur in any bone in the body. It is usually caused by bacteria that enter the bone through a wound or during surgery.
what are the symptoms of hepatitis b?,"Fever, Fatigue, Loss of appetite, Nausea, Vomiting, Abdominal pain, Joint pain, Jaundice"
what is interstitial cystitis?,Interstitial cystitis (IC) is a chronic condition that causes bladder pain and discomfort.
what are the symptoms of necrotizing fasciitis?,"Intense pain, Swelling, Redness, Fever, Nausea and vomiting, Fatigue, Ulcers or blisters, Blackened or dead skin"
what are the symptoms of scarlet fever?,"Fever, Sore throat, Bright red rash (usually on the chest, stomach, and limbs), Reddening of the tongue (known as ""strawberry tongue""), Headache, Nausea, Vomiting"
what are the treatments for ophthalmia neonatorum?,"Antibiotic eye drops or ointment, Preventive measures (e.g. screening and treating pregnant women for STIs)"
what is uterine cancer?,"Uterine cancer is a type of cancer that starts in the cells of the uterus (womb), which is a hollow organ in the female reproductive system."
what are the symptoms of peripheral neuropathy?,"Tingling, burning or prickling sensations in the affected area, Sharp, stabbing or shooting pain, Extreme sensitivity to touch, Lack of coordination and falling, Muscle weakness or paralysis if motor nerves are affected, Partial or complete loss of sensation if sensory nerves are affected, Bowel or bladder dysfunction if autonomic nerves are affected, Changes in blood pressure and sweating"
what are the symptoms of hepatitis b?,"Fever, Fatigue, Loss of appetite, Nausea, Vomiting, Abdominal pain, Joint pain, Jaundice"
what are the treatments for typhoid fever?,"Antibiotics, Supportive care"
what is mitral stenosis?,"Mitral stenosis is a narrowing of the heart's mitral valve, which separates the upper and lower chambers of the left side of the heart. This narrowing restricts blood flow from the left atrium to the left ventricle, which can lead to a variety of symptoms and complications."
what is leptospirosis?,"Leptospirosis is an infection caused by bacteria of the Leptospira genus. It can cause a wide range of symptoms, from mild flu-like symptoms to severe disease involving multiple organs."
what are the symptoms of obsessive-compulsive disorder (ocd)?,"Obsessions, Compulsions, Fear of contamination, Aggressive impulses, Symmetry and orderliness, Excessive doubt, Hoarding, Trichotillomania, Skin picking"
what are the symptoms of tuberculosis?,"Coughing (with or without blood), Chest pain, Fatigue, Fever, Night sweats, Loss of appetite, Weight loss, Shortness of breath (in severe cases)"
what are the treatments for tinnitus?,"Identifying and treating underlying causes (e.g., earwax buildup, high blood pressure), Using a white noise machine or other sound therapy, Counseling or therapy to help manage anxiety or depression"
what are the symptoms of tendinitis?,"Pain, Tenderness, Stiffness, Swelling, Weakness"
what are the symptoms of leishmaniasis?,"Skin sores, Fever, Weight loss, Enlarged spleen and liver"
what is thanks?,
what are the treatments for migraine headaches?,"Pain-relieving medications such as aspirin or ibuprofen, Triptans, which are medications specifically designed to treat migraines, Preventive medications such as beta blockers or antidepressants, Avoiding triggers such as certain foods, stress, and lack of sleep, Resting in a quiet, dark room"
what are the symptoms of macular degeneration?,"Blurred vision, Dark or empty areas in your central vision, Difficulty reading or recognizing faces, Distorted vision, Straight lines appearing wavy, Reduced central vision, Need for brighter light when reading or doing close work, Increased difficulty adapting to low light levels, Decreased intensity or brightness of colors"
what are the treatments for necrotizing fasciitis?,"Antibiotics, Surgery to remove infected tissue, Supportive care"
what are the treatments for sciatica?,"Physical therapy, Pain medication, Steroid injections, Surgery"
what are the treatments for coccidioidomycosis?,"Antifungal medications, Rest, Pain relievers"
what are the symptoms of hepatitis a?,"Fatigue, Nausea and vomiting, Abdominal pain, Loss of appetite, Dark urine, Joint pain, Jaundice"
what are the treatments for chronic kidney disease?,"Medications to control blood pressure and cholesterol levels, Dietary changes to manage potassium, sodium, and protein intake, Dialysis or kidney transplant in severe cases"
what are the treatments for pertussis?,"Antibiotics (to prevent the spread of the infection), Supportive care (e.g. fluids, rest, and nutrition), Vaccination (to prevent infection)"
what are the treatments for scleroderma?,"Immunosuppressive medications, Medications to treat specific symptoms, Physical therapy"
what are the symptoms of impetigo?,"Red sores that quickly turn into blisters, Fluid-filled blisters that burst and develop honey-colored crusts, Itching"
what are the symptoms of mitral stenosis?,"Shortness of breath, Fatigue, Heart palpitations, Chest pain, Swelling in the legs or feet, Coughing up blood"
what is esophageal cancer?,Esophageal cancer is a type of cancer that begins in the cells that line the esophagus.
what are the symptoms of vibrio infection?,"Diarrhea, Abdominal pain, Nausea and vomiting, Fever, Chills, Low blood pressure"
what is lymphoma?,"Lymphoma is a type of cancer that affects the lymphatic system, which is part of the body's immune system."
what is staphylococcal scalded skin syndrome?,Staphylococcal scalded skin syndrome is a rare skin condition caused by the bacteria Staphylococcus aureus. It is characterized by redness and blistering of the skin.
what is ovarian cancer?,Ovarian cancer is a cancer that forms in the ovaries. It is the fifth most common cancer among women.
what are the symptoms of lymphoma?,"Enlarged lymph nodes, Fever, Night sweats, Weight loss, Fatigue, Itching, Shortness of breath, Chest pain, Abdominal pain or swelling, Nausea, Vomiting, Loss of appetite, Headaches, Confusion, Seizures"
what are the symptoms of cryptococcosis?,"Fever, Headache, Nausea and vomiting, Stiff neck, Sensitivity to light, Confusion, Shortness of breath"
what are the treatments for dengue fever?,"Pain relievers, Fluid replacement therapy, Rest, Preventing dehydration"
what are the treatments for rotavirus infection?,"Rehydration therapy, Symptomatic treatment, Prevention through vaccination"
what are the symptoms of appendicitis?,"Pain in the lower right side of the abdomen, Nausea and vomiting, Loss of appetite, Fever, Constipation or diarrhea"
what are the treatments for liver cancer?,"Surgery to remove the cancer, Chemotherapy, Liver transplant"
what are the symptoms of endometriosis?,"Painful periods, Pain during intercourse, Painful bowel movements or urination during menstruation, Excessive bleeding, Infertility"
what are the symptoms of diphtheria?,"Sore throat, Fever, Swollen glands in the neck, Weakness and fatigue, Difficulty breathing, Nasal discharge, Formation of a thick grayish coating in the throat and nose"
what are the symptoms of interstitial cystitis?,"Pelvic pain, Frequent urination, Urgency to urinate, Painful urination, Pain during sexual intercourse"
what are the symptoms of paratyphoid fever?,"Fever, Abdominal pain, Diarrhea, Nausea and vomiting"
what is cardiomyopathy?,"Cardiomyopathy is a disease that affects the heart muscle, making it harder for the heart to pump blood to the rest of the body."
what are the symptoms of lung cancer?,"Coughing up blood, Chest pain, Shortness of breath, Hoarseness"
what are the symptoms of dental caries?,"Toothache or pain when eating or drinking, Sensitivity to hot or cold temperatures, Visible holes or pits in the teeth, Dark spots on the teeth, Bad breath or a bad taste in the mouth"
what are the treatments for inflammatory bowel disease?,"Medications to reduce inflammation, Immunosuppressants, Surgery (in severe cases)"
what are the symptoms of infectious mononucleosis?,"Fatigue, Fever, Sore throat, Swollen lymph nodes, Headache, Muscle aches, Rash"
what are the symptoms of histoplasmosis?,"Fever, Cough, Chest pain, Fatigue, Body aches"
what are the symptoms of intervertebral disc herniation?,"Back pain, Leg pain, Numbness or tingling in the legs or feet, Muscle weakness, Bowel or bladder problems"
what are the treatments for dementia?,"Medications to treat cognitive symptoms, Antidepressants, Antipsychotics, Occupational therapy, Speech therapy"
what are the symptoms of helminthiasis?,"abdominal pain, diarrhea, nausea, vomiting, fever, fatigue, weight loss"
what are the treatments for chagas disease?,"Antiparasitic medication, Symptomatic treatment"
